pages/DonateStartPage.js(53,28): error TS2694: Namespace 'global.WebdriverIO' has no exported member 'BrowserObject'.
pages/DonateStartPage.js(70,18): error TS1064: The return type of an async function or method must be the global Promise<T> type. Did you mean to write 'Promise<any>'?
pages/DonateStartPage.js(75,15): error TS2304: Cannot find name '$$'.
pages/DonateStartPage.js(95,18): error TS1064: The return type of an async function or method must be the global Promise<T> type. Did you mean to write 'Promise<any>'?
pages/DonateStartPage.js(129,29): error TS2304: Cannot find name '$$'.
pages/DonateStartPage.js(150,16): error TS2304: Cannot find name 'int'.
pages/DonateStartPage.js(195,33): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
pages/DonateStartPage.js(209,31): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
pages/DonateStartPage.js(223,29): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
pages/DonateStartPage.js(258,37): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
pages/DonateStartPage.js(328,50): error TS2663: Cannot find name 'browser'. Did you mean the instance member 'this.browser'?
pages/DonateSuccessPage.js(30,16): error TS2304: Cannot find name 'int'.
pages/PledgeFormPage.js(15,28): error TS2694: Namespace 'global.WebdriverIO' has no exported member 'BrowserObject'.
pages/PledgeFormPage.js(24,18): error TS1064: The return type of an async function or method must be the global Promise<T> type. Did you mean to write 'Promise<string>'?
pages/PledgeFormPage.js(35,18): error TS1064: The return type of an async function or method must be the global Promise<T> type. Did you mean to write 'Promise<string>'?
steps/donation.js(24,32): error TS2304: Cannot find name 'browser'.
steps/donation.js(81,11): error TS2304: Cannot find name 'browser'.
steps/donation.js(82,11): error TS2304: Cannot find name 'browser'.
steps/donation.js(86,11): error TS2304: Cannot find name 'browser'.
steps/donation.js(87,11): error TS2304: Cannot find name 'browser'.
steps/donation.js(118,15): error TS2304: Cannot find name 'browser'.
steps/donation.js(213,17): error TS2304: Cannot find name 'browser'.
steps/donation.js(219,17): error TS2304: Cannot find name 'browser'.
steps/hooks.js(10,9): error TS2367: This comparison appears to be unintentional because the types 'TestStepResultStatus' and '"passed"' have no overlap.
steps/hooks.js(16,15): error TS2304: Cannot find name 'browser'.
steps/hooks.js(18,27): error TS2339: Property 'status' does not exist on type 'ITestCaseHookParameter'.
steps/pledge.js(21,31): error TS2304: Cannot find name 'browser'.
support/action.js(16,17): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
support/action.js(17,15): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
support/action.js(20,11): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
support/action.js(31,19): error TS2339: Property 'click' does not exist on type 'Element'.
support/action.js(47,11): error TS2581: Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery`.
